Date,Open,High,Low,Close,Adj Close,Volume
2023-10-16,49.360001,49.990002,49.180000,49.810001,48.859486,7736200
2023-10-17,49.599998,50.279999,49.200001,49.360001,48.418079,8094600
2023-10-18,49.060001,49.700001,48.900002,49.119999,48.182655,11420400
2023-10-19,49.119999,50.119999,48.959999,49.500000,48.555401,8135900
2023-10-20,49.369999,50.209999,49.150002,49.340000,48.398460,9923300
2023-10-23,49.279999,49.790001,48.830002,49.270000,48.329792,7906800
2023-10-24,49.500000,49.840000,48.709999,49.040001,48.104183,8526500
2023-10-25,49.080002,49.639999,48.889999,49.049999,48.113995,6312600
2023-10-26,49.139999,50.200001,48.959999,50.070000,49.114525,9788800
2023-10-27,49.900002,50.060001,48.529999,48.799999,47.868763,10168900
2023-10-30,49.000000,49.220001,48.220001,48.459999,47.535252,9005100
2023-10-31,48.480000,48.849998,47.779999,48.349998,47.427349,7043700
2023-11-01,48.360001,48.740002,48.080002,48.400002,47.476395,10905000
2023-11-03,48.950001,50.459999,48.849998,50.099998,49.143951,12382700
2023-11-06,50.290001,50.650002,50.000000,50.450001,49.487274,6108400
2023-11-07,50.450001,51.189999,50.130001,51.020000,50.046398,14527500
2023-11-08,51.080002,51.740002,51.020000,51.669998,50.683994,9488000
2023-11-09,51.000000,51.360001,49.220001,49.509998,48.565212,31213600
2023-11-10,49.770000,50.389999,49.459999,50.240002,49.281284,8916200
2023-11-13,50.099998,50.290001,49.830002,50.049999,49.094906,4820800
2023-11-14,50.180000,50.939999,49.970001,50.290001,49.330330,18930000
2023-11-16,50.299999,50.480000,49.860001,50.279999,49.320518,17112600
2023-11-17,50.279999,50.959999,50.220001,50.660000,49.693268,12247100
2023-11-20,50.939999,51.299999,50.290001,50.930000,49.958115,7535300
2023-11-21,50.930000,51.419998,50.770000,51.290001,50.311249,10321000
2023-11-22,50.599998,51.360001,50.599998,50.849998,49.979023,8097800
2023-11-23,50.799999,51.480000,50.799999,51.020000,50.146114,4123800
2023-11-24,51.070000,51.279999,50.700001,50.959999,50.087139,4407500
2023-11-27,51.150002,51.980000,51.070000,51.900002,51.011040,11307200
2023-11-28,51.970001,52.799999,51.959999,52.650002,51.748196,9816600
